code	consfirstaug	country	indcent	rel_catho80	rel_muslim80	rel_protmg80	growth	democ
AFG	0	Afghanistan	19.19	0	0.993	0	-0.0848947	0.15
AGO	0.3333333	Angola	19.75	0.687	0	0.198	0.6444693	0.35
ALB	0.6666667	Albania	19.12				1.675993	0.75
ARE	0.3333333	United Arab Emirates	19.71	0.004	0.949	0.003	3.372619	0.1
ARG	0	Argentina	18.16	0.916	0.002	0.027	2.713703	0.9
AUS	1	Australia	19.01	0.296	0.002	0.235	3.986219	1
AUT	0	Austria	18	0.888	0.006	0.065	3.347301	1
BDI	0.1481481	Burundi	19.62	0.7830001	0.009	0.049	0.3280602	0.45
BEL	0.6666667	Belgium	18.3	0.9	0.011	0.004	3.165714	0.95
BEN	0.125	Benin	19.6	0.185	0.152	0.028	1.161583	0.8
BFA	0.2	Burkina Faso	19.6	0.09	0.43	0.016	0.722393	0.35
BGD	0.3148148	Bangladesh	19.71	0.002	0.859	0.002	0.4302096	0.8
BGR	0.1851852	Bulgaria	18.78	0.005	0.106	0.004	2.38107	0.9
BHR	0.0666667	Bahrain	19.71	0.008	0.95	0.009	2.188017	0.05
BOL	0.3333333	Bolivia	18.25	0.925	0	0.023	1.51428	0.95
BRA	0	Brazil	18.22	0.878	0.001	0.04	2.631244	0.9
BTN	0	Bhutan	19.07	0	0.05	0	1.543368	0.1
BWA	0.6666667	Botswana	19.66	0.094	0	0.268	2.351604	0.95
CAF	0	Central African Republic	19.6	0.331	0.032	0.5	0.4462757	0.75
CAN	1	Canada	18.67	0.466	0.006	0.296	4.016289	1
CHE	1	Switzerland	18	0.528	0.003	0.432	3.550565	0.9
CHL	0	Chile	18.1	0.821	0	0.019	2.855033	0.95
CHN	0	China	18	0	0.024	0	1.742018	0.15
CIV	0	Cote d'Ivoire	19.6	0.185	0.24	0.047	1.164257	0.7
CMR	0.3333333	Cameroon	19.6	0.35	0.22	0.181	0.9904609	0.3
COG	0.3833333	Congo, Rep.	19.6	0.539	0.004	0.249	1.676822	0.2
COL	0.3333333	Colombia	18.1	0.966	0.002	0.009	2.196941	0.85
COM	0.3166667	Comoros	19.75	0.001	0.997	0.001	0.3387346	0.45
CRI	0.3333333	Costa Rica	18.21	0.905	0	0.058	2.388829	1
CUB	0.3333333	Cuba	19.02	0.32	0	0.008	1.449782	0.15
CYP	0.9333333	Cyprus	19.6				3.455848	1
DEU	0.3333333	Germany	18.71	0.35	0.0002	0.464	3.296905	1
DJI	0.1666667	Djibouti	19.77	0.067	0.906	0.002	0.9795089	0.6
DNK	0	Denmark	18	0.006	0.002	0.952	3.43931	0.9
DOM	0.3333333	Dominican Republic	18.44	0.966	0	0.014	1.866842	0.9
DZA	0.05	Algeria	19.62	0.005	0.991	0	1.908826	0.35
ECU	0.3333333	Ecuador	18.22	0.964	0	0.019	1.700095	0.8
EGY	0.75	Egypt, Arab Rep.	19.22	0.002	0.818	0.002	1.816061	0.2
ESP	0	Spain	18	0.969	0	0.001	3.139772	1
EST	1	Estonia	19.18	0.02	0.0001	0.66	3.083397	0.8
FIN	1	Finland	19.17	0.001	0	0.931	3.79856	1
FJI	1	Fiji	19.7	0.09	0.078	0.391	1.543368	0.75
FRA	0	France	18	0.764	0.03	0.024	3.353542	0.85
GAB	0.1333333	Gabon	19.6	0.652	0.008	0.188	2.239409	0.3
GBR	1	United Kingdom	18	0.131	0.014	0.161	3.323291	0.9
GHA	0	Ghana	19.57	0.187	0.157	0.258	1.128396	0.6
GIN	0	Guinea	19.58	0.011	0.69	0.001	0.322422	0.45
GMB	0.6666667	Gambia, The	19.65	0.019	0.848	0.004	0.7713041	0.25
GNB	0.3333333	Guinea-Bissau	19.73	0.102	0.383	0.006	0.497128	0.75
GNQ	0.0333333	Equatorial Guinea	19.68	0.7130001	0.005	0.049	2.642492	0.25
GRC	0	Greece	18.21	0.004	0.015	0.001	3.325555	1
GTM	0	Guatemala	18.21	0.94	0	0.049	1.791016	0.9
GUY	0.8666667	Guyana	19.66	0.18	0.09	0.18	2.297351	0.8
HND	0.3666667	Honduras	18.21	0.958	0.001	0.026	1.239843	0.85
HTI	0	Haiti	18.04	0.826	0	0.128	0.3584127	0.4
HUN	0.3333333	Hungary	18	0.539	0	0.216	2.666542	0.9
IDN	0.7333333	Indonesia	19.45	0.027	0.434	0.011	1.729825	0.85
IND	1	India	19.47	0.013	0.116	0.048	1.244725	0.95
IRL	1	Ireland	19.21	0.953	0	0.011	3.733696	0.9
IRN	0	Iran	18	0.001	0.979	0	2.122077	0.65
IRQ	0.1666667	Iraq	19.32	0.018	0.958	0	0.7654872	0.05
ISL	1	Iceland	19.18	0.007	0	0.966	3.455848	1
ISR	1	Israel	19.48	0.01	0.08	0.002	3.348109	1
ITA	0.3333333	Italy	18.61	0.832	0.001	0.004	2.835336	0.95
JAM	1	Jamaica	19.62	0.096	0.001	0.555	1.834831	0.95
JOR	0.3	Jordan	19.46	0.017	0.93	0.003	1.966512	0.4
JPN	0	Japan	18	0.006	0	0.009	3.740952	1
KEN	0.4833333	Kenya	19.63	0.264	0.06	0.193	0.9013543	0.4
KHM	0	Cambodia	19.53	0.001	0.024	0.001	0.649312	0.6
KOR	0.2619048	Korea, Rep.	19.45	0.039	0	0.122	3.228899	0.9
KWT	0.2083333	Kuwait	19.61	0.021	0.951	0.001	2.889042	0.15
LAO	0.6666667	Lao PDR	19.49	0.008	0.01	0.002	0.725378	0.15
LBR	1	Liberia	18.47	0.019	0.212	0.186	0.7157588	0.5
LBY	0.3333333	Libya	19.51	0.002	0.981	0.001	1.411033	0.15
LKA	1	Sri Lanka	19.48	0.068	0.072	0.004	1.858982	0.75
LSO	0.45	Lesotho	19.66	0.435	0	0.298	1.379378	0.9
LTU	1	Lithuania	19.18	0.8	0		2.558121	1
LVA	1	Latvia	19.2	0.182	0.0001	0.141	2.608489	0.9
MAR	0.1833333	Morocco	19.56	0.002	0.994	0	1.8937	0.2
MDG	0.3333333	Madagascar	19.6	0.26	0.017	0.22	0.5336061	0.85
MEX	0.3333333	Mexico	18.1	0.947	0	0.012	2.832151	0.9
MLI	0.2666667	Mali	19.6	0.007	0.8	0.002	0.7099972	0.8
MMR	1	Myanmar	19.48	0.009	0.036	0.032	0.8677979	0.15
MNG	0.3333333	Mongolia	19.21	0	0.014	0	0.6468925	1
MOZ	0.1666667	Mozambique	19.75	0.314	0.13	0.068	1.241046	0.8
MRT	0.4	Mauritania	19.6	0.003	0.994	0	0.8986678	0.2
MUS	1	Mauritius	19.68	0.312	0.164	0.009	3.247667	1
MWI	0	Malawi	19.64	0.276	0.162	0.315	0.4954095	0.85
MYS	1	Malaysia	19.57	0.028	0.494	0.014	2.628924	0.65
NER	0.3333333	Niger	19.6	0.002	0.879	0	0.1942644	0.7
NGA	0.6	Nigeria	19.6	0.121	0.45	0.158	1.0266	0.7
NIC	0	Nicaragua	18.21	0.947	0	0.044	1.012197	0.9
NLD	0	Netherlands	18	0.426	0.01	0.424	3.34532	0.95
NOR	0.3333333	Norway	18	0.003	0.001	0.9779999	3.639411	1
NPL	0	Nepal	18	0	0.03	0	0.5647783	0.8
NZL	1	New Zealand	19.07	0.187	0	0.379	3.68953	1
OMN	0	Oman	18	0.001	0.989	0.001	2.496103	0.05
PAK	0.5	Pakistan-post-1972	19.71	0.005	0.9680001	0.008	1.218039	0.2
PAN	0.3333333	Panama	19.03	0.85	0.045	0.052	2.323307	0.95
PER	0.3333333	Peru	18.21	0.951	0	0.027	1.873102	0.55
PHL	0.5333334	Philippines	19.46	0.841	0.043	0.038	1.434978	0.9
PNG	1	Papua New Guinea	19.75	0.328	0	0.584	1.543368	1
POL	0.9333333	Poland	19.18	0.81	0	0.001	2.677324	0.9
PRK	0.3333333	Korea, Dem. Rep.	19.45	0	0	0	0.7219348	0.05
PRT	0	Portugal	18	0.941	0	0.011	3.141536	1
PRY	0	Paraguay	18.11	0.96	0	0.019	1.671753	0.85
QAT	0	Qatar	19.71	0.012	0.924	0.009	2.650289	0
ROM	0.3333333	Romania	18.77	0.049	0.012	0.058	1.800515	0.9
RUS	0	Russia	18	0.014	0.113	0	2.335486	0.85
RWA	0	Rwanda	19.62	0.556	0.086	0.116	0.6955752	0.3
SAU	0	Saudi Arabia	19.32	0.001	0.988	0.001	2.64533	0
SDN	0.3333333	Sudan	19.56	0.044	0.73	0.001	0.8731046	0.15
SEN	0.3333333	Senegal	19.6	0.056	0.91	0.001	1.241735	0.9
SGP	0.3333333	Singapore	19.65	0.047	0.174	0.026	3.666049	0.4
SLE	0.55	Sierra Leone	19.61	0.022	0.394	0.048	-0.0887394	0.15
SLV	0.3333333	El Salvador	18.21	0.962	0	0.024	1.567521	0.85
SWE	0	Sweden	18	0.014	0.001	0.684	3.376157	0.9
SWZ	0.0833333	Swaziland	19.68	0.108	0.001	0.339	1.839638	0.05
SYR	0.5	Syrian Arab Republic	19.46	0.013	0.896	0.002	2.578044	0.15
TCD	0	Chad	19.6	0.21	0.44	0.116	0.0228591	0.4
TGO	0.2333333	Togo	19.6	0.293	0.17	0.061	0.3285556	0.4
THA	0	Thailand	18	0.004	0.039	0.002	2.41184	0.95
TTO	1	Trinidad and Tobago	19.62	0.358	0.065	0.132	3.178472	1
TUN	0	Tunisia	19.56	0.001	0.994	0	2.394425	0.35
TUR	0	Turkey	18	0.001	0.992	0	2.452288	0.85
TWN	0.1666667	Taiwan	19.48				3.377548	0.95
TZA	0.3333333	Tanzania	19.61	0.282	0.325	0.112	0.2356138	0.6
UGA	0.5925926	Uganda	19.62	0.496	0.066	0.019	0.6438055	0.3
URY	0	Uruguay	18.25	0.595	0	0.019	2.630204	1
USA	1	United States	18	0.3	0.008	0.436	4.2531	1
VEN	0	Venezuela, RB	18.11	0.948	0	0.01	2.698509	0.85
VNM	0.3333333	Vietnam	19.45	0.039	0.01	0.002	1.14786	0.15
ZAF	1	South Africa	19.1	0.104	0.013	0.39	2.302416	0.95
ZMB	0.2	Zambia	19.64	0.262	0.003	0.319	0.4759107	0.55
ZWE	1	Zimbabwe	19.65	0.144	0.009	0.214	1.129134	0.25
