Unit,PropHiEd,PropWhiteCollar,OID,Pop10More
საქართველო,0.267421689,0.23881994,,3228691
გლდანის რაიონი,0.36839077,0.414045088,1091,151209
დიდუბის რაიონი,0.560386552,0.633971392,1095,61156
ვაკის რაიონი,0.642343163,0.723801464,1102,97697
ისნის რაიონი,0.356081106,0.428884647,1104,107908
კრწანისის რაიონი,0.338562286,0.396592048,1083,33595
მთაწმინდის რაიონი,0.555630027,0.64424747,1082,43268
ნაძალადევის რაიონი,0.396137078,0.468449946,1087,133267
საბურთალოს რაიონი,0.588156079,0.665920398,1080,120298
სამგორის რაიონი,0.323310259,0.376033424,1089,151251
ჩუღურეთის რაიონი,0.464941948,0.531313918,1085,57362
აჭარის ავტონომიური რესპუბლიკა,0.223674479,0.222148629,,287981
გურია,0.161408803,0.12387003,,100738
იმერეთი,0.221941605,0.175332016,,468808
ბაღდათის მუნიციპალიტეტი,0.18501744,0.121975147,788,19209
ვანის მუნიციპალიტეტი,0.158269466,0.096364115,785,22051
ჭიათურის მუნიციპალიტეტი,0.142812677,0.134417147,813,35340
კახეთი,0.176727749,0.126528461,,279294
სიღნაღის მუნიციპალიტეტი,0.199198308,0.126480178,443,26943
ყვარლის მუნიციპალიტეტი,0.1680943,0.121084568,176,26384
მცხეთა-მთიანეთი,0.193033329,0.160680731,,83110
მცხეთის მუნიციპალიტეტი,0.169782269,0.14618418,675,41565
რაჭა-ლეჩხუმი და ქვემო სვანეთი,0.200978903,0.171111313,,29625
ქ. ამბროლაური,0.36388584,0.463809524,1015,1822
სამეგრელო-ზემო სვანეთი,0.192475491,0.153679059,,292245
ქ. ზუგდიდი,0.283729102,0.395018723,3,37564
სამცხე-ჯავახეთი,0.157388971,0.141184565,,138612
ქ. ახალციხე,0.295357808,0.381954184,20,15036
ადიგენის მუნიციპალიტეტი,0.154870651,0.11245499,109,14341
ნინოწმინდის მუნიციპალიტეტი,0.133374988,0.121859923,37,20806
ქვემო ქართლი,0.168673931,0.149851248,,361105
დმანისის მუნიციპალიტეტი,0.087330426,0.07721976,476,16512
თეთრიწყაროს მუნიციპალიტეტი,0.163105954,0.126128668,290,18442
შიდა ქართლი,0.185447641,0.144816084,,230162
ქ. ოზურგეთი,0.279951007,0.357971014,1079,13063
ოზურგეთის მუნიციპალიტეტი,0.126553487,0.084646758,1060,42646
ქედის მუნიციპალიტეტი,0.152896227,0.153034893,1050,14657
ლენტეხის მუნიციპალიტეტი,0.225855513,0.230191257,1046,3945
ცაგერის მუნიციპალიტეტი,0.17148202,0.173752057,1033,9622
ხულოს მუნიციპალიტეტი,0.129107515,0.136686255,982,20146
ხარაგაულის მუნიციპალიტეტი,0.119949783,0.117888777,981,17524
ზესტაფონის მუნიციპალიტეტი,0.190264701,0.140324029,970,50661
ონის მუნიციპალიტეტი,0.201089822,0.139197461,956,5689
ქ. ბათუმი,0.307519692,0.374876604,925,131016
ჩხოროწყუს მუნიციპალიტეტი,0.165216952,0.162536963,913,19774
ქობულეთის მუნიციპალიტეტი,0.167927125,0.120938676,901,64659
ხელვაჩაურის მუნიციპალიტეტი,0.151772793,0.124417188,876,44224
წალენჯიხის მუნიციპალიტეტი,0.17874563,0.131298701,844,23167
სამტრედიის მუნიციპალიტეტი,0.205004186,0.152005231,831,43004
წყალტუბოს მუნიციპალიტეტი,0.171581239,0.106131255,828,50530
ხონის მუნიციპალიტეტი,0.191876485,0.123146913,822,21050
აბაშის მუნიციპალიტეტი,0.147346369,0.101269434,815,20048
მესტიის მუნიციპალიტეტი,0.202002503,0.193810787,793,7990
სენაკის მუნიციპალიტეტი,0.199455025,0.157072228,761,35231
ქ. ფოთი,0.263366172,0.33858915,759,36136
ტყიბულის მუნიციპალიტეტი,0.184448366,0.163876961,758,18699
საჩხერის მუნიციპალიტეტი,0.142891807,0.115906779,721,32969
დუშეთის მუნიციპალიტეტი,0.17337529,0.124038717,706,22881
თერჯოლის მუნიციპალიტეტი,0.178615322,0.095444685,704,31733
ჩოხატაურის მუნიციპალიტეტი,0.13739151,0.115878319,694,16937
შუახევის მუნიციპალიტეტი,0.128925371,0.202571883,669,13279
ქარელის მუნიციპალიტეტი,0.134219435,0.094389555,634,36038
ასპინძის მუნიციპალიტეტი,0.158163832,0.158134243,616,8997
ქ. რუსთავი,0.29402114,0.34711159,581,106057
ახმეტის მუნიციპალიტეტი,0.153035754,0.117441343,529,27242
თიანეთის მუნიციპალიტეტი,0.160854761,0.138227255,520,8517
ქ. თელავი,0.410235246,0.427172583,487,16961
გარდაბნის მუნიციპალიტეტი,0.123662938,0.096030586,470,69649
გურჯაანის მუნიციპალიტეტი,0.184054037,0.133180043,434,48263
ქ. გორი,0.363631947,0.388701786,432,41168
ლაგოდეხის მუნიციპალიტეტი,0.127107187,0.079348932,424,36245
ხაშურის მუნიციპალიტეტი,0.169679021,0.173542514,413,45922
ამბროლაურის მუნიციპალიტეტი,0.186849187,0.114095026,400,8547
ყაზბეგის მუნიციპალიტეტი,0.335508751,0.263211904,399,3371
მარტვილის მუნიციპალიტეტი,0.145039696,0.081776524,388,29978
მარნეულის მუნიციპალიტეტი,0.106036704,0.079984116,370,88111
ქ. მცხეთა,0.37042503,0.410634209,338,6776
ახალციხის მუნიციპალიტეტი,0.126465842,0.092908759,330,18590
თელავის მუნიციპალიტეტი,0.170556711,0.107596685,310,34147
კასპის მუნიციპალიტეტი,0.132293412,0.117372786,296,38785
გორის მუნიციპალიტეტი,0.145833639,0.078494064,293,68249
ბორჯომის მუნიციპალიტეტი,0.197108889,0.220294796,286,22206
ხობის მუნიციპალიტეტი,0.146400976,0.114341799,273,27049
ბოლნისის მუნიციპალიტეტი,0.125768199,0.11160661,251,46212
დედოფლისწყაროს მუნიციპალიტეტი,0.177324963,0.130013831,234,18796
წალკის მუნიციპალიტეტი,0.093536782,0.077904254,224,16122
საგარეჯოს მუნიციპალიტეტი,0.130503464,0.106423539,193,44313
ლანჩხუთის მუნიციპალიტეტი,0.173679339,0.120057307,71,28092
ქ. ქუთაისი,0.355948206,0.429235681,67,126038
ახალქალაქის მუნიციპალიტეტი,0.109198675,0.089420756,62,38636
ქ. თბილისი,0.444807844,0.516717283,,957011
ზუგდიდის მუნიციპალიტეტი,0.158458089,0.086739516,2,55308